a,NESSUS Plugin,Asuria Name,Qualis ID,Acunetix ID,Scuba ID,Paginas de ejemplo de XAMPP,Descripción,Solución,Workaround,Categoría,Efecto,Prioridad,CVSS,Plataforma,Subplataforma,CVE,Referencias,Exploit,Estado,Patrones,Revisada,Severidad,
,11356,,,,,NFS Acceso anónimo a recursos compartidos,"Es posible acceder de forma anónima a los recursos compartidos vía NFS, permitiendo así el acceso de lectura y posiblemente de escritura sobre los archivos residentes en el recurso compartido.",Configurar NFS de manera que solo permita que host autorizados puedan montar recursos compartidos.,,Mala Configuración,,Media,Media / CVSS Base Score : 6.4 (CVSS2#AV:N/AC:L/Au:N/C:P/I:P/A:N),,,CVE-1999-0170 CVE-1999-0211 CVE-1999-0554,,,Por Validar,,,,
,11457,,,,,Almacenamiento de credenciales en memoria,"La llave de registro \nHKLM\Software\Microsoft\Windows NT\Currentversión\Winlogon\CachedLogonsCount\nis está establecida con un valor diferente a 0, esto significa que el sistema remoto almacena localmente las contraseñas en cache para permitir el acceso automático de los usuario en caso de una falla del PDC",Establecer el valor de la llave de registro a 0,,Mala Configuración,,Baja,Baja / CVSS Base Score : 2.6 (CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N),Microsoft Windows,,,,,Por Validar,,,,
,11519,,,,,Apache mod_jk < 1.2.1,La versión de Apache mod_jk en el sistema remoto es vulnerable a un ataque que puede lograr que los servidores Apache y Tomcat no trabajen de manera correcta.,"Actualizar a mod_jk 1.2.1 o posterior. http://httpd.apache.org/

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),"Apache HTTPD
IBM HTTP Server",,CVE-2002-2272,,,,,,,
,11658,,,,,Servidor WEB Genérico Acceso a información sensible,Es posible solicitar al servidor remoto el acceso al código fuente de páginas JSP al solicitarlas con una codificación diferente (ej.: filename.JSP en lugar de filename.jsp). Un atacante puede aprovechar este problema para obtener información sensible contenida en el código fuente.,No se conoce solución para este problema.,,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),General,,CVE-2003-0411,,,Por Validar,,,,
,11804,,,,,MS03-031: Actualizaciones de seguridad acumulativas para Microsoft SQL Server(815495),"La versión de Microsoft SQL server en el sistema remoto es vulnerable a diversos problemas incluyendo volcado de memoria, denegación de servicio y hijacking, estos podrían permitir a un usuario elevar sus privilegios en el sistema.","Aplicar los parches correspondientes según la versión del manejador de base de datos: 
http://www.microsoft.com/technet/security/bulletin/ms03-031.mspx

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 4.6 (CVSS2#AV:L/AC:L/Au:N/C:P/I:P/A:P),Microsoft SQL Server,,CVE-2003-0230 CVE-2003-0231 CVE-2003-0232,,,,,,,
,11808,,,,,MS03-026: Sobre carga de memoria sobre la interface Microsoft RPC (823980),"La versión de Windows en el sistema remoto contiene una falla en la función RemoteActivation() de su interfaz RPC, esto puede permitir a un atacante ejecutar código de manera arbitraria con privilegios de SYSTEM.","Aplicar los parches correspondientes según la versión del sistema operativo:
http://www.microsoft.com/technet/security/bulletin/MS03-026.mspx

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta actualización de Sistema Operativo,,Alta,Alta / CVSS Base Score : 10.0 (CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C),Microsoft Windows,,CVE-2003-0352,,,Por Validar,,,,
,11835,,,,,MS03-039: Sobrecarga de memoria sobre la interface Microsoft RPC (KB824146),"La versión de Windows en el sistema remoto sufre una falla en la interface RPC interface, esta podría permitir a un atacante ejecutar código con privilegios de SYSTEM.","Aplicar los parches correspondientes según la versión del sistema operativo:
http://www.microsoft.com/technet/security/bulletin/MS03-039.mspx

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta actualización de Sistema Operativo,,Alta,Alta / CVSS Base Score : 10.0 (CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C),Microsoft Windows,,CVE-2003-0715 CVE-2003-0528 CVE-2003-0605,,,Por Validar,,,,
,11871,,,,,Microsoft IIS Acceso a información sensible,El sistema remoto ejecuta una versión de IIS que permite a un usuario remoto determinar los esquemas de acceso que son requeridos para el acceso a páginas confidenciales.,"Si la aplicación lo permite, deshabilitar todos los métodos que no sean requeridos desde la interfaz de propiedades de IIS",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),Microsoft IIS,,CVE-2002-0419,,,Por Validar,,,,
,11915,,,,,Apache < 1.3.29,"La versión de Apache en el sistema remoto es inferior a 1.3.29, esta versión es susceptible a diversas vulnerabilidades que podrían permitir a un atacante la ejecución remota de código a través de los módulos mod_alis y mod_rewrite.",Actualizar a Apache 1.3.41 o posterior. http://httpd.apache.org/,,Falta de actualización de aplicación,,Alta,Alta / CVSS Base Score : 7.2 (CVSS2#AV:L/AC:L/Au:N/C:C/I:C/A:C),"Apache HTTPD
IBM HTTP Server",,CVE-2003-0542 CVE-2003-0542,http://httpd.apache.org/,,Por Validar,,02/04/2009,,
,12085,,,,,Apache Tomcat Archivos de ejemplo,El sistema remoto expone archivos de ejemplos de JSPs y Servlets instalado en Apache Tomcat.,"Las mejores prácticas indican que un sistema en producción no debe exponer archivos de ejemplo o documentación, pues estos pueden proporcionar información útil a un atacante o pueden llegar a ser susceptibles a diversas vulnerabilidades.",,Configuración por defecto,,Media,Media / CVSS Base Score : 6.8 (CVSS2#AV:N/AC:M/Au:N/C:P/I:P/A:P),Apache Tomcat,,,,,Por Validar,,,,
,12110,,,,,OpenSSL < 0.9.6m / 0.9.7d,"La versión de OpenSSL utilizada en el sistema remoto es inferior a 0.9.6m o 0.9.7d, esta versión es vulnerable a un ataque de denegación de servicio.","Actualizar a OpenSSL 0.9.8k o posterior.

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),OpenSSL,,CVE-2004-0079 CVE-2004-0081 CVE-2004-0112,,,Por Validar,,,,
,12209,,,,,MS04-011: Actualizaciones de Seguridad para Microsoft (835732),La versión de Windows en el sistema remoto contiene un falla en la función DsRolerUpgradeDownlevelServer de la Autoridad de seguridad local del servicio server (LSASS) esta puede permitir a un atacante ejecutar código de manera arbitraria con los privilegios de SYSTEM.,"Aplicar los parches correspondientes según la versión del sistema operativo:
http://www.microsoft.com/technet/security/bulletin/ms04-011.mspx

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta actualización de Sistema Operativo,,Alta,Alta / CVSS Base Score : 10.0 (CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C),Microsoft Windows,,CVE-2003-0533,,,Por Validar,,,,
,12217,,,,,DNS vulnerable a cache snooping,"El servidor DNS remoto responde a peticiones de dominio de terceros que no tienen el bit de recursión habilitado, esto puede permitir a un atacante remoto conocer los dominios que han sido resueltos vía el servidor de nombres, y por lo tanto que sitios han sido visitados recientemente.",Consultar al fabricante y delimitar el acceso a la memoria cache solo a los usuarios locales y Servidores de DNS de Apoyo.,,Mala Configuración,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),General,,,,,Por Validar,,,,
,12217,,,,,DNS vulnerable a cache snooping,"El servidor DNS remoto responde a peticiones de dominio de terceros que no tienen el bit de recursión habilitado, esto puede permitir a un atacante remoto conocer los dominios que han sido resueltos vía el servidor de nombres, y por lo tanto que sitios han sido visitados recientemente.","Deshabilitar recursión ejecutando el comando dnscmd ServerName/Config/NoRecursion 1 http://technet.microsoft.com/en-us/library/cc787602(WS.10).aspx 
Limitar acceso a la memoria cache desde la interfaz gráfica
http://technet.microsoft.com/en-us/library/bb727020.aspx",,Mala Configuración,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),Microsoft DNS,,,,,Por Validar,,,,
,12218,,,,,Servicio mDNS,"El sistema remoto tiene activado el protocolo Bonjour (también conocido como ZeroConf o mDNS), el cual permite obtener información del host remoto de forma anónima, tal como servicios activos, versión de sistema operativo, etc.",Filtrar el trafico al puerto UDP 5353 según convenga.,,Configuración por defecto,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),mDNS / Bojour / ZeroConf,,,,,Por Validar,,,,
,12249,,,,,Lotus Domino Acceso a información sensible,El servidor WEB en el sistema remoto permite a un atacante ver una lista de elemento de diseño al enviar un paquete HTTP malformado sobre Lotus Domino server.,Fortalecer el acceso y privilegios a los servicios y funcionalidades de Lotus domino.,,Configuración por defecto,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),IBM Lotus Domino,,,http://www.ngssoftware.com/papers/hpldws.pdf,,Por Validar,,,,
,12255,,,,,mod_ssl Volcado de memoria sobre SSL_Util_UUEncode_Binary ,"La versión de mod_ssl en el sistema remoto es inferior a 2.8.18, esta versión es susceptible a que un atacante pueda ejecutar código de manera remota o deshabilitar el sitio WEB publicado.","Actualizar a mod_ssl versión 2.8.31 o posterior. http://httpd.apache.org/

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta  de actualización de aplicación,,Alta,Alta / CVSS Base Score : 7.5 (CVSS2#AV:N AC:L/Au:N/C:P I:P/A:P),"Apache HTTPD
IBM HTTP Server",,CVE-2004-0488,,,Por Validar,,,,
,12280,,,,,Apache < 2.0.49 o 1.3.31,"La versión de Apache en el sistema remoto es vulnerable a denegación de servicio. Nota: Se sabe que este problema afecta solo a AIX, Solaris y Tru64.","Actualizar a Apache versión 2.0.63 o 1.3.41 según corresponda. 
http://httpd.apache.org/

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),"Apache HTTPD
IBM HTTP Server",,CVE-2004-0174,http://archives.neohapsis.com/archives/bugtraq/2004-03/0192.html,,,,,,
,13651,,,,,Ejecución de código a través de mod_ssl,"La versión de mod_ssl en el sistema remoto es inferior a 2.8.19, a través de una cadena de texto malformada un atacante puede aprovechar un error en la función de log y ejecutar código de forma arbitraria.","Actualizar a mod_ssl versión 2.8.31 o posterior.
http://httpd.apache.org/

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Alta,Alta / CVSS Base Score : 7.5 (CVSS2#AV:N AC:L/Au:N/C:P I:P/A:P),"Apache HTTPD
IBM HTTP Server",,CVE-2004-0700,,,Por Validar,,,,
,15555,,,,,Apache HTTP Volcado de memoria sobre mod_proxy,"La versión de Apache en el sistema remoto es inferior a 1.3.32, esta versión es susceptible a un volcado de memoria sobre proxy_util.c, esto puede permitir a un atacante causar una denegación de servicio o ejecutar código de manera arbitraria.","Validar el uso del modulo mod_proxy, si no es requerido deshabilitar, si es requerido actualizarlo a la última versión disponible o actualizar Apache a 1.3.41 o posterior.",,Falta de actualización de aplicación,,Alta,Alta / CVSS Base Score : 10.0 (CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C),"Apache HTTPD
IBM HTTP Server",,CVE-2004-0492,,,Por Validar,,,,
,15901,,,,,Certificado Digital Expirado,El certificado digital del servicio en el sistema remoto ha expirado o está a punto de expirar.,Generar un nuevo certificado digital para el servicio.,,Mala Configuración,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),General,,,,,Por Validar,,,,
,15984,,,,,Acceso a carpetas compartidas vía NFT sin la necesidad de privilegios de root,"Es posible acceder a los recursos compartidos vía NFT sin la necesidad de los privilegios de root, un atacante puede aprovechar esto para leer y escribir sobre archivos en el sistema remoto.",Establecer en la configuración del servicio NFS un listado de host validos para acceder a recursos compartidos por el servicio.,,Configuración por defecto,,Alta,Alta / CVSS Base Score : 7.5 (CVSS2#AV:N AC:L/Au:N/C:P I:P/A:P),General,,,,,Por Validar,,,,
,16173,,,,,IBM Websphere Commerce Database Acceso a información sensible,El sistema remoto ejecuta una versión de IBM Websphere Commerce que puede permitir el acceso a información sensible  a través de una cuenta por defecto.,Contactar al soporte de WebSphere Commerce para obtener una solución a este problema.,,Falta de actualización de aplicación,,Baja,Baja / CVSS Base Score : 2.6 (CVSS2#AV:N/AC:H/Au:N/C:P/I:N/A:N),IBM WebSphere,,,,,Por Validar,,,,
,17322,,,,,Apache Tomcat < 5.x ,La versión de Apache Tomcat en el sistema remoto es susceptible a una denegación de servicio dado una falla al manipular entradas malformadas.,"
Actualizar a Apache Tomcat versión 5.x o posterior.

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),Apache Tomcat,,CVE-2005-0808,,,,,,,
,17348,,,,,Jetty < 4.2.19 vulnerable a Denegación de Servicio (DoS),La versión del servidor Jetty en el sistema remoto es vulnerable a una denegación de servicio.,"Actualizar a Jetty versión 6.1 o posterior.

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),Jetty,,CVE-2004-2381,http://jetty.mortbay.org/jetty/index.html,,Por Validar,,,,
,17654,,,,,Oracle Vulnerable a través de un ataque del tipo Directory Traversal,"El manejador de Base de Datos Oracle en el sistema remoto es susceptible a un ataque de directorio transverso que puede permitir a un atacante leer y/o escribir, o renombrar archivos de forma arbitraria  según los privilegios con los que se ejecute el manejador de base de datos.  Un usuario autenticado podría realizar peticiones SQL que le podrían permitir acceder al sistema de archivos del sistema operativo.","Aplicar los parches críticos de seguridad de Enero del 2005.

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Media,Media / CVSS Base Score : 6.5 (CVSS2#AV:N/AC:L/Au:S/C:P/I:P/A:P),Oracle Database,,CVE-2005-0701,"http://www.argeniss.com/research/ARGENISS-ADV-030501.txt
http://lists.grok.org.uk/pipermail/full-disclosure/2005-March/032273.html
http://www.oracle.com/technology/deploy/security/pdf/cpu-jan-2005_advisory.pdf",,,,,,
,17997,,,,,Compaq Web Management server Volcado de memoria sobre,"La versión de Compaq Web Management server en el sistema remoto es susceptible a un volcado de memoria no especifico, esto puede permitir a un atacante ejecutar código de forma arbitraria con los privilegios del proceso del servidor WEB.","Actualizar a HP HTTP Server versión 5.96 o posterior o a System Management Homepage versión 2.0 o posterior.

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta de actualización de aplicación,,Alta,Alta / CVSS Base Score : 10.0 (CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C),Compaq Web Management,,CVE-2005-4823,,,Por Validar,,,,
,18037,,,,,FTP Contraseñas por defecto,El servidor FTP en el sistema remoto tiene usuarios con contraseñas por defecto derivada de la instalación de XAMPP.,"A través del security console de XAMPP, establecer una contraseña según las políticas de la compañía. http://www.apachefriends.org/en/xampp-windows.html",,Configuración por defecto,,Alta,Alta / CVSS Base Score : 7.5 (CVSS2#AV:N AC:L/Au:N/C:P I:P/A:P),XAMPP,,CVE-2005-1078,,,,,,,
,18262,,,,,Servidor TFTP Acceso arbitrario a archivos,El servidor TFTP (Trivial File Transfer Protocol) que se ejecuta en el sistema remoto es vulnerable a un ataque de directorio transverso lo que puede permitir a un atacante leer de forma arbitraria archivos en el host remoto.,Ejecutar el servicio de TFTP en un ambiente enjaulado (chroot) y/o filtrar el tráfico entrante al puerto.,,Protocolo no seguro,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),General,,CVE-1999-0183 CVE-1999-0498 CVE-2002-2353 CVE-2009-0271 CVE-2009-0288,,,Por Validar,,,,
,18365,,,,,WebLogic Susceptible a Múltiples Vulnerabilidades,"La versión de WebLogic Server o WebLogic Express en el sistema remoto es susceptible a múltiples vulnerabilidades que incluyen: Volcado de memoria, ejecución cruzada de código, acceso no autorizado y denegación de servicio.","Actualizar a la versión de Service Pack adecuada según especifica el fabricante en: 
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/125
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/126
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/127
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/128
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/129
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/130
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/132
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/135
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/137",,Falta de actualización de aplicación,,Alta,Alta / CVSS Base Score : 7.5 (CVSS2#AV:N AC:L/Au:N/C:P I:P/A:P),Oracle Bea Weblogic,,CVE-2005-1380 CVE-2005-1742 CVE-2005-1743 CVE-2005-1744 CVE-2005-1745 CVE-2005-1746 CVE-2005-1747 CVE-2005-1748 CVE-2005-1749,"http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/125
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/126
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/127
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/128
http://web.archive.org/web/20070211133850/dev2dev.bea.com/pub/advisory/129
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/130
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/132
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/135
http://web.archive.org/web/20070404224518/dev2dev.bea.com/pub/advisory/137",,,,,,
,18391,,,,,SMTP identificado en un puerto no estándar,"El sistema remoto ejecuta un servicio SMTP en un puerto no estándar, esto puede ser un backdoor (puerta trasera) creada por un atacante para distribuir SPAM a través de este sistema.",Validar que el servicio en ejecución sea un servicio conocido y autorizado.,,Mala Configuración,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),General,,,,,Por Validar,,,,
,18405,,,,,Terminal Services Vulnerable a Man in The Middle (Ataque de hombre en medio),El servicio Terminal Services en el host remoto es propenso a un ataque de hombre en medio y robo de sesión con lo cual un atacante podría obtener acceso al sistema con las credenciales del usuario conectado vía Terminal Service.,Forzar el uso de SSL en las conexiones. Si no es posible crear un túnel de ssh para el uso del servicio.,,Protocolo no seguro,,Media,Media / CVSS Base Score : 5.1 (CVSS2#AV:N/AC:H/Au:N/C:P/I:P/A:P),Microsoft Terminal Services,,CVE-2005-1794 CVE-2005-1794,,,Por Validar,,,,
,18502,,,,,MS05-027: Ejecución de código a través de SMB (896422),"La versión de Windows en el sistema remoto contiene una falla en la implementación del Server Message Block (SMB), esta puede permitir a un atacante ejecutar código en el sistema remoto.","Aplicar los parches correspondientes según al versión del sistema operativo:
http://www.microsoft.com/technet/security/bulletin/ms05-027.mspx

Recordando que toda actualización puede tener un impacto en los sistemas. Si la organización decide no instalar la actualización esto debe ser documentado",,Falta actualización de Sistema Operativo,,Alta,Alta / CVSS Base Score : 10.0 (CVSS2#AV:N/AC:L/Au:N/C:C/I:C/A:C),Microsoft Windows,,CVE-2005-1206,,,Por Validar,,,,
,18585,,,,,Enumeración de servicios por medio a través de una sesión nula (NULL session),Es posible enumerar los servicio que se ejecutan en el sistema remoto a conectarse por sesión nula (NULL session) al recurso \\srvsvc.,Instalar el Update Rollup Package 1 (URP1) para Windows 2000 SP4.,,Configuración por defecto,,Media,Media / CVSS Base Score : 5.0 (CVSS2#AV:N/AC:L/Au:N/C:P/I:N/A:N),Microsoft Windows,,CVE-2005-2150,,,Por Validar,,,,
